2022-03-05 23:23:19 status installed mawk:amd64 1.3.4.20200120-2
2022-03-05 23:23:19 startup archives install
2022-03-05 23:23:19 install debconf:all <none> 1.5.77
2022-03-05 23:23:19 status half-installed debconf:all 1.5.77
2022-03-05 23:23:19 status unpacked debconf:all 1.5.77
2022-03-05 23:23:19 configure debconf:all 1.5.77 1.5.77
2022-03-05 23:23:19 status half-configured debconf:all 1.5.77
2022-03-05 23:23:19 status installed debconf:all 1.5.77
2022-03-05 23:23:19 startup archives unpack
2022-03-05 23:23:19 install libacl1:amd64 <none> 2.2.53-10
2022-03-05 23:23:19 status half-installed libacl1:amd64 2.2.53-10
2022-03-05 23:23:19 status unpacked libacl1:amd64 2.2.53-10
2022-03-05 23:23:19 install adduser:all <none> 3.118
2022-03-05 23:23:19 status half-installed adduser:all 3.118
2022-03-05 23:23:19 status unpacked adduser:all 3.118
2022-03-05 23:23:19 install apt:amd64 <none> 2.2.4
2022-03-05 23:23:19 status half-installed apt:amd64 2.2.4
2022-03-05 23:23:20 status unpacked apt:amd64 2.2.4
2022-03-05 23:23:20 install libapt-pkg6.0:amd64 <none> 2.2.4
2022-03-05 23:23:20 status half-installed libapt-pkg6.0:amd64 2.2.4
2022-03-05 23:23:20 status unpacked libapt-pkg6.0:amd64 2.2.4
2022-03-05 23:23:20 install libattr1:amd64 <none> 1:2.4.48-6
2022-03-05 23:23:20 status half-installed libattr1:amd64 1:2.4.48-6
2022-03-05 23:23:20 status unpacked libattr1:amd64 1:2.4.48-6
2022-03-05 23:23:20 install libaudit-common:all <none> 1:3.0-2
2022-03-05 23:23:20 status half-installed libaudit-common:all 1:3.0-2
2022-03-05 23:23:20 status unpacked libaudit-common:all 1:3.0-2
2022-03-05 23:23:20 install libaudit1:amd64 <none> 1:3.0-2
2022-03-05 23:23:20 status half-installed libaudit1:amd64 1:3.0-2
2022-03-05 23:23:20 status unpacked libaudit1:amd64 1:3.0-2
2022-03-05 23:23:20 upgrade base-files:amd64 11.1+deb11u2 11.1+deb11u2
2022-03-05 23:23:20 status half-configured base-files:amd64 11.1+deb11u2
2022-03-05 23:23:20 status unpacked base-files:amd64 11.1+deb11u2
2022-03-05 23:23:20 status half-installed base-files:amd64 11.1+deb11u2
2022-03-05 23:23:20 status unpacked base-files:amd64 11.1+deb11u2
2022-03-05 23:23:20 upgrade base-passwd:amd64 3.5.51 3.5.51
2022-03-05 23:23:20 status half-configured base-passwd:amd64 3.5.51
2022-03-05 23:23:20 status unpacked base-passwd:amd64 3.5.51
2022-03-05 23:23:20 status half-installed base-passwd:amd64 3.5.51
2022-03-05 23:23:20 status unpacked base-passwd:amd64 3.5.51
2022-03-05 23:23:20 install bash:amd64 <none> 5.1-2+b3
2022-03-05 23:23:20 status half-installed bash:amd64 5.1-2+b3
2022-03-05 23:23:20 status unpacked bash:amd64 5.1-2+b3
2022-03-05 23:23:20 install libbz2-1.0:amd64 <none> 1.0.8-4
2022-03-05 23:23:20 status half-installed libbz2-1.0:amd64 1.0.8-4
2022-03-05 23:23:20 status unpacked libbz2-1.0:amd64 1.0.8-4
2022-03-05 23:23:20 install libdebconfclient0:amd64 <none> 0.260
2022-03-05 23:23:20 status half-installed libdebconfclient0:amd64 0.260
2022-03-05 23:23:20 status unpacked libdebconfclient0:amd64 0.260
